"","x"
"781","Abcd4"
"782","Abce1"
"783","Abcf1"
"784","Abcf2"
"785","Abcf3"
"786","Abcg1"
"787","Abcg2"
"788","Abcg3"
"789","Abhd1"
"790","Abhd10"
"791","Abhd11"
"792","Abhd12"
"793","Abhd12b"
"794","Abhd13"
"795","Abhd14a"
"796","Abhd14b"
"797","Abhd15"
"798","Abhd16a"
"799","Abhd17a"
"800","Abhd17b"
"801","Abhd17c"
"802","Abhd2"
"803","Abhd3"
"804","Abhd4"
"805","Abhd5"
"806","Abhd6"
"807","Abhd8"
"808","Abi1"
"809","Abi2"
"810","Abi3"
"811","Abi3bp"
"812","Abl1"
"813","Abl2"
"814","Ablim1"
"815","Ablim2"
"816","Ablim3"
"817","Abr"
"818","Abra"
"819","Abracl"
"820","Abt1"
"821","Abtb1"
"822","Abtb2"
"823","Acaa1a"
"824","Acaa1b"
"825","Acaa2"
"826","Acaca"
"827","Acad10"
"828","Acad11"
"829","Acad12"
"830","Acad8"
"831","Acad9"
"832","Acadl"
"833","Acadm"
"834","Acads"
"835","Acadsb"
"836","Acadvl"
"837","Acap1"
"838","Acap2"
"839","Acap3"
"840","Acat1"
"841","Acat2"
"842","Acat3"
"843","Acbd3"
"844","Acbd4"
"845","Acbd5"
"846","Acbd6"
"847","Acbd7"
"848","Accs"
"849","Acd"
"850","Ace"
"851","Ace2"
"852","Acer2"
"853","Acer3"
"854","Ache"
"855","Acin1"
"856","Ackr2"
"857","Ackr3"
"858","Ackr4"
"859","Acly"
"860","Acn9"
"861","Aco1"
"862","Aco2"
"863","Acot1"
"864","Acot10"
"865","Acot11"
"866","Acot13"
"867","Acot2"
"868","Acot7"
"869","Acot8"
"870","Acot9"
"871","Acox1"
"872","Acox2"
"873","Acox3"
"874","Acoxl"
"875","Acp1"
"876","Acp2"
"877","Acp5"
"878","Acp6"
"879","Acpl2"
"880","Acpp"
"881","Acrbp"
"882","Acsbg1"
"883","Acsf2"
"884","Acsf3"
"885","Acsl1"
"886","Acsl3"
"887","Acsl4"
"888","Acsl5"
"889","Acsm1"
"890","Acss1"
"891","Acss2"
"892","Acss3"
"893","Acta2"
"894","Actb"
"895","Actg1"
"896","Actg2"
"897","Actl6a"
"898","Actn1"
"899","Actn2"
"900","Actn4"
"901","Actr10"
"902","Actr1a"
"903","Actr1b"
"904","Actr2"
"905","Actr3"
"906","Actr6"
"907","Actr8"
"908","Acvr1"
"909","Acvr1b"
"910","Acvr2a"
"911","Acvr2b"
"912","Acvrl1"
"913","Acy1"
"914","Acy3"
"915","Acyp1"
"916","Acyp2"
"917","Ada"
"918","Adal"
"919","Adam10"
"920","Adam15"
"921","Adam17"
"922","Adam19"
"923","Adam22"
"924","Adam23"
"925","Adam28"
"926","Adam32"
"927","Adam33"
"928","Adam8"
"929","Adam9"
"930","Adamts1"
"931","Adamts10"
"932","Adamts14"
"933","Adamts15"
"934","Adamts2"
"935","Adamts20"
"936","Adamts5"
"937","Adamts6"
"938","Adamts8"
"939","Adamts9"
"940","Adamtsl1"
"941","Adamtsl2"
"942","Adamtsl4"
"943","Adamtsl5"
"944","Adap1"
"945","Adap2"
"946","Adar"
"947","Adarb1"
"948","Adat1"
"949","Adat2"
"950","Adat3"
"951","Adc"
"952","Adck1"
"953","Adck2"
"954","Adck3"
"955","Adck4"
"956","Adck5"
"957","Adcy1"
"958","Adcy3"
"959","Adcy4"
"960","Adcy5"
"961","Adcy6"
"962","Adcy7"
"963","Adcy9"
"964","Adcyap1r1"
"965","Add1"
"966","Add3"
"967","Adgb"
"968","Adh1"
"969","Adh5"
"970","Adh7"
"971","Adhfe1"
"972","Adi1"
"973","Adig"
"974","Adipor1"
"975","Adipor2"
"976","Adk"
"977","Adm"
"978","Adnp2"
"979","Ado"
"980","Adora1"
"981","Adora2a"
"982","Adora2b"
"983","Adora3"
"984","Adpgk"
"985","Adprh"
"986","Adprhl2"
"987","Adprm"
"988","Adra2a"
"989","Adrb1"
"990","Adrb2"
"991","Adrb3"
"992","Adrbk1"
"993","Adrbk2"
"994","Adrm1"
"995","Adsl"
"996","Adss"
"997","Adssl1"
"998","Aebp1"
"999","Aebp2"
"1000","Aen"
"1001","Aes"
"1002","Afap1"
"1003","Afap1l1"
"1004","Afap1l2"
"1005","Aff1"
"1006","Aff3"
"1007","Aff4"
"1008","Afg3l1"
"1009","Afg3l2"
"1010","Afm"
"1011","Afmid"
"1012","Afp"
"1013","Aftph"
"1014","Aga"
"1015","Agap1"
"1016","Agap2"
"1017","Agap3"
"1018","Agbl2"
"1019","Agbl3"
"1020","Agbl4"
"1021","Agbl5"
"1022","Ager"
"1023","Agfg1"
"1024","Agfg2"
"1025","Aggf1"
"1026","Agk"
"1027","Agl"
"1028","Agmat"
"1029","Agmo"
"1030","Ago1"
"1031","Ago2"
"1032","Ago3"
"1033","Ago4"
"1034","Agpat1"
"1035","Agpat2"
"1036","Agpat3"
"1037","Agpat4"
"1038","Agpat5"
"1039","Agpat6"
"1040","Agpat9"
"1041","Agps"
"1042","Agr2"
"1043","Agr3"
"1044","Agrn"
"1045","Agrp"
"1046","Agtpbp1"
"1047","Agtr1a"
"1048","Agtrap"
"1049","Ahctf1"
"1050","Ahcy"
"1051","Ahcyl1"
"1052","Ahcyl2"
"1053","Ahdc1"
"1054","Ahi1"
"1055","Ahnak"
"1056","Ahnak2"
"1057","Ahr"
"1058","Ahsa1"
"1059","Ahsa2"
"1060","Aida"
"1061","Aif1"
"1062","Aif1l"
"1063","Aifm1"
"1064","Aifm2"
"1065","Aifm3"
"1066","Aig1"
"1067","Aim1"
"1068","Aim1l"
"1069","Aim2"
"1070","Aimp1"
"1071","Aimp2"
"1072","Aip"
"1073","Airn"
"1074","Ajuba"
"1075","Ak1"
"1076","Ak2"
"1077","Ak3"
"1078","Ak4"
"1079","Ak7"
"1080","Ak8"
"1081","Ak9"
"1082","Akap1"
"1083","Akap10"
"1084","Akap11"
"1085","Akap12"
"1086","Akap13"
"1087","Akap14"
"1088","Akap17b"
"1089","Akap5"
"1090","Akap6"
"1091","Akap7"
"1092","Akap8"
"1093","Akap8l"
"1094","Akap9"
"1095","Akip1"
"1096","Akirin1"
"1097","Akirin2"
"1098","Akna"
"1099","Akr1a1"
"1100","Akr1b10"
"1101","Akr1b3"
"1102","Akr1b8"
"1103","Akr1c13"
"1104","Akr1c14"
"1105","Akr1c19"
"1106","Akr1cl"
"1107","Akr1e1"
"1108","Akr7a5"
"1109","Akt1"
"1110","Akt1s1"
"1111","Akt2"
"1112","Akt3"
"1113","Aktip"
"1114","Alad"
"1115","Alas1"
"1116","Alas2"
"1117","Alcam"
"1118","Aldh16a1"
"1119","Aldh18a1"
"1120","Aldh1a1"
"1121","Aldh1a2"
"1122","Aldh1a7"
"1123","Aldh1b1"
"1124","Aldh1l1"
"1125","Aldh1l2"
"1126","Aldh2"
"1127","Aldh3a1"
"1128","Aldh3a2"
"1129","Aldh3b1"
"1130","Aldh3b2"
"1131","Aldh4a1"
"1132","Aldh5a1"
"1133","Aldh6a1"
"1134","Aldh7a1"
"1135","Aldh8a1"
"1136","Aldh9a1"
"1137","Aldoa"
"1138","Aldoart1"
"1139","Aldoart2"
"1140","Aldoc"
"1141","Alg1"
"1142","Alg10b"
"1143","Alg11"
"1144","Alg12"
"1145","Alg13"
"1146","Alg14"
"1147","Alg2"
"1148","Alg3"
"1149","Alg5"
"1150","Alg6"
"1151","Alg8"
"1152","Alg9"
"1153","Alkbh1"
"1154","Alkbh2"
"1155","Alkbh3"
"1156","Alkbh4"
"1157","Alkbh5"
"1158","Alkbh6"
"1159","Alkbh7"
"1160","Alkbh8"
"1161","Alms1"
"1162","Alox12"
"1163","Alox15"
"1164","Alox5"
"1165","Alox5ap"
"1166","Aloxe3"
"1167","Alpk1"
"1168","Alpl"
"1169","Als2"
"1170","Als2cl"
"1171","Alyref"
"1172","Alyref2"
"1173","Amacr"
"1174","Ambra1"
"1175","Amd1"
"1176","Amd2"
"1177","Amdhd2"
"1178","Amer1"
"1179","Amfr"
"1180","Amhr2"
"1181","Amica1"
"1182","Amigo1"
"1183","Amigo2"
"1184","Ammecr1"
"1185","Ammecr1l"
"1186","Amn1"
"1187","Amot"
"1188","Amotl1"
"1189","Amotl2"
"1190","Ampd1"
"1191","Ampd2"
"1192","Ampd3"
"1193","Amt"
